k,observed_Nc,observed_is_lower_bound,lower_bound_N,observed_lower_N,observed_upper_N,observed_lower_delta,observed_upper_delta,predicted_Nc,alpha_k,epsilon_inf,R2_original,RMSE_original,observed_method,observed_source,prediction_source
2,101.976706011415,False,,101,102,0.0076888687005156001,-0.000183375977676,105.04096490140395,1.3606772994187806,0.023491753697787901,0.97595504119802756,1.1108972206211278,exact,"local k=2 validation, 100 samples per N",k=2 local finite-size alpha and mean epsilon from 100-sample validation
4,1569.7557889759701,False,,1552,1591,0.0029569887214141999,-0.0035379386676868,1552.2573277454835,2.3498904755651449,0.002057781066337,0.98869836964939684,38.732899916157308,exact,"remote validation PID 55117, 2 samples per N",strict BA single-sample S_N=N/logN scaling
6,5366.7951752303297,False,,5277,5409,0.00033543317158940002,-0.00015765767138990001,5276.5909629766311,2.7772516585669891,0.00065918454721219997,0.99336410247811036,34.397943661926227,exact,"remote validation PID 55117, 2 samples per N",strict BA single-sample S_N=N/logN scaling
8,12785.6558233623,False,,12540,12854,0.0015198461347365,-0.00042283806372980001,12540.154080781134,3.0672174928674281,0.00028984340044520003,0.9964403576966312,28.027264428146569,exact,"remote validation PID 55117, 2 samples per N",strict BA single-sample S_N=N/logN scaling
10,25132.1860391062,False,,25130,25758,3.8990218822476697e-06,-0.0011162025056199001,25130.083875519191,3.3044611830989106,0.0001480012103708,0.99767720997820963,24.463679700500983,exact,"remote validation PID 55117, 2 samples per N",strict BA single-sample S_N=N/logN scaling
12,44176.498656019343,False,,43941,50532,6.3690755082390597e-05,-0.0016016334683221999,43941.301420768708,3.4080719768769931,8.9158404315356696e-05,0.99873344120340823,18.46914173603129,short_proxy,"large BA short-time remeeting proxy, L=5, R=1000, one graph per N",strict BA single-sample S_N=N/logN scaling
14,68645.197983434322,False,,66000,70000,0.00057957474290689997,-0.00028825117185419998,70269.93523988378,3.5335353230496143,5.7043688792591237e-05,0.99879534733748998,18.657592006704181,short_proxy,"large BA short-time remeeting proxy, L=5, R=1000, 3 graphs per N, refined local bracket",strict BA single-sample S_N=N/logN scaling
16,107590.69734312368,False,,106154,122077,0.0001399328257676,-0.0013148545078891,106153.5628309396,3.666302084574816,3.8090977468915883e-05,0.99923231580589722,15.490952266261472,short_proxy,"large BA short-time remeeting proxy, L=5, R=1000, one graph per N",strict BA single-sample S_N=N/logN scaling
18,156873.24233323499,False,,137003,161181,0.00091936864834350003,-0.0001838927035962,161180.53444160102,3.7497092044298679,2.5754844595862376e-05,0.9994524726239068,13.367599766077673,short_proxy,"large BA short-time remeeting proxy, L=5, R=1000, one graph per N",strict BA single-sample S_N=N/logN scaling
20,222515.401829838,False,,220947,254089,5.0284251987164901e-05,-0.0009432617232754,220947.05131028779,3.8381584014718308,1.8971543119831879e-05,0.99939303419409875,14.420635895223874,short_proxy,"large BA short-time remeeting proxy, L=5, R=1000, one graph per N",strict BA single-sample S_N=N/logN scaling
