n,sample_count,threshold_mean,threshold_std,threshold_RR,threshold_delta_mean,threshold_delta_std,cov_over_Etau_mean,cov_over_Etau_std,epsilon_crit,epsilon_crit_std,margin,margin_std,S_N_mean,S_N_std,threshold_sem,cov_over_Etau_sem,epsilon_crit_sem
100,20,4.5031648024176452,0.033714844308256192,4.2608695652173898,0.24229523720025276,0.033714844308255887,0.002275600744121985,0.00077592079845517159,0.014398215810380911,0.0019500908238724464,-0.01212261506625888,0.0015663041958458375,51.744510408982094,3.4915868701376902,0.0075388683724082715,0.00017350116505016774,0.00043605356444773594
200,20,4.2592557160418139,0.025023059648146505,4.125,0.13425571604181286,0.025023059648147085,0.002451818508531275,0.00047235856590194318,0.0099067914833191988,0.0016017017175566192,-0.0074549729747878605,0.0013179895817535489,87.293839632037788,7.2590379996338452,0.0055953262378287552,0.00010562258631110592,0.00035815139201347688
300,20,4.1690981111610714,0.018525325923084549,4.0821917808219199,0.086906330339154722,0.01852532592308509,0.0020995128136222251,0.00048685447372065596,0.0071179100058747103,0.0011615942243566725,-0.0050183971922524596,0.0010390694303301505,125.32758928349176,11.734547408687771,0.0041423888069356089,0.00010886396983892716,0.00025974036479326613
316,20,4.1611826149715485,0.019347656778302167,4.0779220779220804,0.083260537049469924,0.019347656778303073,0.0021989074470942999,0.00043418789219708964,0.007022296525007546,0.0012924933126082284,-0.0048233890779131993,0.0010813499114723756,129.23080410263438,12.566555127348121,0.0043262675761618222,9.7087364196004288e-05,0.00028901029074558844
500,20,4.1000346073449467,0.010334973680384359,4.0487804878048799,0.051254119540068067,0.010334973680385587,0.00206527855863313,0.00044913719062758442,0.0051175812526996697,0.00076505065022136512,-0.0030523026940664998,0.00060449001213749431,186.75574076176423,16.888173869210963,0.0023109703695010611,0.00010043012894665602,0.00017107052601253868
700,20,4.0637808091310346,0.0084001172023250737,4.0346820809248598,0.029098728206179474,0.0084001172023254224,0.0021831567537355804,0.00041615981475983548,0.00394229016819456,0.00054814761902325238,-0.00175913341445894,0.00050270369097830513,248.8459685485681,22.183227860266676,0.0018783233083364218,9.3056163530671248e-05,0.00012256953378406491
1000,20,4.0379126947111335,0.0045504341611273241,4.0241935483870996,0.013719146324036549,0.00455043416112654,0.0022338214009273499,0.0002726762305869082,0.0030726151019835253,0.00029849131090663817,-0.00083879370105613502,0.00027707273183441209,329.79435863894105,21.221131175086203,0.0010175080111417927,6.0972258744073407e-05,6.6744686188026725e-05
1200,20,4.0269476503512331,0.0076559504066365802,4.0201342281879198,0.0068134221633137492,0.0076559504066368144,0.0022048507625549748,0.00031688012401910381,0.0026224817147896449,0.00048109574316999599,-0.00041763095223462568,0.00046811173634749649,392.98163688182018,44.409439442997389,0.0017119225541606549,7.0856549802527995e-05,0.00010757627854138912
1300,20,4.0241097486803472,0.0063014271409336867,4.01857585139319,0.0055338972871578898,0.0063014271409334117,0.0020669476583791151,0.00027630032128830672,0.002406835002117815,0.00034171748966192332,-0.00033988734373868452,0.00038693566402658207,425.14153264368161,37.888598670023505,0.0014090419442389871,6.1782630060568604e-05,7.6410353598464211e-05
1400,20,4.0221932066968158,0.0054367674309162483,4.0172413793103496,0.0049518273864710268,0.005436767430916865,0.0021235553025405699,0.00023839715525935808,0.0024280858478676502,0.00024302964552502901,-0.00030453054532705967,0.00033424403703628277,430.97508241480148,29.168253107744626,0.0012156981553385622,5.3307224480249611e-05,5.4343080794164244e-05
1500,20,4.0168150993408513,0.005205361467738037,4.0160857908847198,0.00072930845613367512,0.0052053614677383449,0.0021831932624213303,0.0002394422255316107,0.0022277368074429251,0.00027070971510354761,-4.454354502159781e-05,0.00032128871861303158,468.11756265359929,37.445606105421909,0.0011639542089320329,5.3540909297251724e-05,6.0532532514113394e-05
1600,20,4.0142127313461327,0.0052033549914500057,4.0150753768844201,-0.00086264553828965514,0.005203354991450612,0.0021047678122105202,0.00025175640045367549,0.00205102081947457,0.00015937680759760457,5.3746992735926603e-05,0.00032141299688556404,503.72241433590324,27.117770458870574,0.001163505547194505,5.6294442518507725e-05,3.5637737582514872e-05
1700,20,4.0126247442600995,0.0056221490030441378,4.0141843971631204,-0.0015596529030214498,0.0056221490030433762,0.0020389652551524953,0.00024810529690100165,0.00194193360405273,0.00032750547701023596,9.7031651099744473e-05,0.00034698205094931673,537.46241836028719,54.61317615756451,0.0012571507350439364,5.5478030944840758e-05,7.3232450959838217e-05
1800,20,4.0099918472502729,0.0036833685070571977,4.0133928571428603,-0.0034010098925831948,0.0036833685070567159,0.0020694384433475499,0.00018025941046671517,0.0018586192139850449,0.0002493709132010919,0.00021081922936248013,0.00022833837211119065,562.23605168631707,52.374508775131787,0.0008236262367961808,4.030722953876122e-05,5.5761031352884112e-05
1900,20,4.0102985491665448,0.005021323617079714,4.0126849894291796,-0.0023864402626300649,0.0050213236170800497,0.002104895172549645,0.00017995408672464655,0.0019566593809820952,0.00032941025749155242,0.00014823579156753071,0.00031057248668493991,553.90050988485234,64.373112309780751,0.0011228020944815363,4.0238957074520218e-05,7.3658372823682047e-05
2000,20,4.0047495848047605,0.004480807306820208,4.01204819277108,-0.0072986079663243204,0.0044808073068201455,0.0021454837485581349,0.00024352720189467914,0.0016923863143835048,0.0001511545243843589,0.000453097434174595,0.00027831616185783478,616.75482257245221,37.085023958852361,0.0010019389732127742,5.4454337780681813e-05,3.3799179163007604e-05
3000,20,3.9952282555434513,0.0043724698639911845,4.0080213903743296,-0.012793134830878966,0.0043724698639908766,0.002072803319578835,0.00017430414093640362,0.00127544032021432,0.00016579450149454826,0.00079736299936447011,0.00027319003840535678,851.72814669592094,73.1837453136189,0.00097771398454535481,3.8975590789350233e-05,3.7072777563750034e-05
3162,20,3.9927654378636581,0.0028683854553373579,4.0076093849080499,-0.014843947044395395,0.0028683854553386724,0.0020939544620121502,0.00018203786396217182,0.0011681904352571449,0.00012281798325474295,0.00092576402675494508,0.00017965114657484251,918.52380189224402,69.334852546842967,0.00064139048638060185,4.0704903829827538e-05,2.7462935941703611e-05
5000,20,3.9849438239832282,0.0029648280758594148,4.0048076923076898,-0.019863868324463872,0.0029648280758598129,0.0020715715697041102,0.00016262064797362269,0.00082861194141142997,0.0001176349132311283,0.00124295962829263,0.00018647581920476548,1341.135942966549,119.05387458385762,0.00066295571192215546,3.6363082341408374e-05,2.6303966251209228e-05
7000,20,3.9807179063381311,0.0019244037032266541,4.0034324942791804,-0.02271458794104567,0.0019244037032273421,0.00204824125394848,0.00011234710639923484,0.00062446030879313502,6.0013422330436732e-05,0.0014237809451552849,0.00012137009182128991,1797.4543122533614,128.53537205445554,0.00043030974965671298,2.5121576698409071e-05,1.3419409189326037e-05
10000,20,3.9775711204055972,0.0018726574839067877,4.0024019215372304,-0.02483080113163208,0.0018726574839065717,0.0019990422744463701,0.00011550099196566781,0.00044047668313685001,2.7952629194119792e-05,0.0015585655913094749,0.00011833910243080371,2546.1551692243274,121.43129740604016,0.00041873894325892956,2.5826806950389027e-05,6.2503979027897021e-06
