n,threshold_mean
100,4.2608695652173916
200,4.125
300,4.0821917808219181
316,4.0779220779220777
500,4.0487804878048781
700,4.0346820809248554
1000,4.024193548387097
1200,4.0201342281879198
1300,4.0185758513931891
1400,4.0172413793103452
1500,4.0160857908847181
1600,4.0150753768844218
1700,4.0141843971631204
1800,4.0133928571428568
1900,4.0126849894291752
2000,4.0120481927710845
3000,4.0080213903743314
3162,4.0076093849080534
5000,4.0048076923076925
7000,4.0034324942791759
10000,4.0024019215372295
