source,target
0,1
0,2
0,3
0,4
0,7
0,19
0,20
0,22
0,27
0,31
0,33
0,34
0,35
0,37
0,43
0,70
0,87
0,92
0,102
0,106
0,112
0,143
0,177
0,178
0,184
0,194
1,2
1,5
1,6
1,7
1,8
1,40
1,52
1,59
1,76
1,80
1,99
1,101
1,104
1,114
1,122
1,123
1,126
1,132
1,153
1,182
1,189
1,190
1,192
1,195
2,3
2,4
2,5
2,8
2,9
2,10
2,12
2,14
2,15
2,16
2,18
2,19
2,20
2,21
2,23
2,24
2,28
2,29
2,31
2,32
2,33
2,35
2,36
2,38
2,40
2,41
2,42
2,44
2,45
2,46
2,47
2,51
2,52
2,54
2,55
2,56
2,58
2,60
2,62
2,63
2,65
2,66
2,67
2,68
2,69
2,70
2,72
2,73
2,74
2,75
2,77
2,78
2,79
2,81
2,82
2,83
2,84
2,85
2,86
2,89
2,90
2,91
2,92
2,93
2,94
2,95
2,98
2,99
2,100
2,103
2,104
2,105
2,106
2,107
2,109
2,110
2,111
2,112
2,115
2,116
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
2,128
2,129
2,131
2,132
2,133
2,134
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,143
2,144
2,145
2,146
2,147
2,148
2,149
2,151
2,152
2,153
2,154
2,155
2,157
2,158
2,159
2,160
2,161
2,163
2,164
2,165
2,167
2,168
2,170
2,171
2,172
2,173
2,174
2,176
2,177
2,178
2,180
2,181
2,182
2,183
2,185
2,186
2,187
2,188
2,189
2,190
2,191
2,193
2,195
2,197
3,13
3,16
3,17
3,30
3,42
3,43
3,49
3,55
3,108
3,156
4,9
4,11
4,17
4,25
4,32
4,54
4,111
4,128
4,134
4,159
4,193
5,6
5,11
5,12
5,96
5,199
6,38
6,59
6,129
6,176
7,50
8,14
8,22
8,48
9,10
9,13
9,18
9,34
9,44
10,15
10,142
10,196
11,25
11,26
11,28
12,45
13,27
13,53
14,24
14,37
14,39
14,69
14,99
14,155
14,188
15,21
15,60
15,66
15,125
15,137
15,145
15,197
16,169
17,30
17,121
17,166
17,196
18,67
19,26
19,64
19,107
19,144
20,23
20,88
20,140
22,71
22,135
22,152
23,33
24,94
24,96
24,109
24,142
24,172
25,127
25,161
27,46
27,49
27,167
27,170
28,29
28,36
28,41
28,61
28,101
28,130
31,71
32,47
32,56
32,80
32,87
32,148
32,158
32,175
33,165
34,57
34,63
34,68
34,89
34,162
34,185
36,53
36,62
36,79
36,83
36,84
36,88
36,95
36,97
36,100
36,102
36,113
36,118
36,169
37,39
37,61
37,85
37,130
38,103
39,64
40,50
40,76
42,48
44,58
44,110
44,113
44,125
45,75
45,127
46,90
47,120
48,51
48,77
48,114
48,124
48,141
48,157
48,192
51,105
53,72
53,175
54,57
54,98
55,171
56,65
57,74
57,131
57,136
57,174
57,198
59,82
62,81
65,73
65,86
65,91
65,163
66,146
68,118
71,179
75,139
77,78
77,181
81,133
81,150
81,156
82,116
82,194
85,149
85,166
85,168
86,93
88,180
90,147
90,162
90,179
91,108
96,97
102,151
104,138
110,115
110,117
110,199
113,164
115,117
117,119
123,160
142,150
144,184
150,154
150,187
161,173
162,191
166,198
172,183
177,186
