source,target
0,1
0,2
0,3
0,4
0,7
0,15
0,16
0,20
0,21
0,23
0,33
0,35
0,39
0,44
0,57
0,118
0,122
0,137
0,144
0,147
0,148
0,152
0,169
0,178
0,186
0,191
1,2
1,3
1,4
1,5
1,8
1,11
1,12
1,14
1,18
1,19
1,23
1,24
1,26
1,29
1,30
1,31
1,41
1,43
1,56
1,64
1,71
1,75
1,76
1,97
1,102
1,104
1,115
1,137
1,146
1,171
1,172
1,180
1,190
1,191
2,5
2,6
2,10
2,13
2,18
2,22
2,28
2,33
2,34
2,37
2,40
2,44
2,52
2,72
2,80
2,103
2,114
2,118
2,143
2,146
2,167
3,7
3,9
3,10
3,12
3,24
3,26
3,30
3,40
3,69
3,85
3,88
3,99
3,131
3,134
3,159
3,170
3,171
3,177
4,14
4,38
4,70
4,85
4,120
4,133
4,136
4,167
4,180
4,182
4,186
5,6
5,42
5,131
5,134
5,145
6,11
6,25
6,35
6,36
6,37
6,42
6,48
6,88
6,89
6,101
6,195
7,8
7,9
7,13
7,15
7,17
7,19
7,21
7,22
7,38
7,43
7,45
7,50
7,58
7,65
7,67
7,71
7,79
7,90
7,97
7,99
7,102
7,127
7,132
7,135
7,138
7,139
7,140
7,181
7,198
8,17
8,27
8,45
8,47
8,55
8,64
8,80
8,90
8,105
8,124
8,150
8,158
8,189
9,28
9,83
10,77
10,78
10,86
10,123
10,157
10,162
11,20
11,27
11,49
11,62
11,83
11,129
11,138
11,197
12,16
12,25
12,34
12,82
12,115
12,120
12,192
13,49
13,55
13,111
13,162
13,194
14,53
14,112
14,142
15,87
15,92
15,151
16,70
16,174
17,47
17,63
18,92
18,113
19,29
19,53
19,69
19,151
20,32
20,91
20,136
20,166
21,82
21,86
21,98
21,117
22,39
22,46
22,93
22,141
22,198
22,199
23,61
23,81
23,95
23,119
24,123
24,124
24,192
26,31
26,59
26,87
27,41
27,51
27,65
27,74
27,105
27,109
27,149
27,168
28,52
28,57
28,100
28,108
28,133
28,150
29,165
30,32
30,96
30,111
30,121
30,142
30,155
30,185
33,36
33,50
33,68
33,110
34,63
34,67
34,95
34,117
35,58
35,130
36,114
37,48
37,112
37,126
38,54
38,152
38,170
39,156
40,73
41,46
41,54
41,94
42,51
42,84
42,122
43,72
43,76
43,106
43,165
44,62
44,173
45,60
47,119
47,141
47,148
48,61
48,96
48,183
49,59
49,101
49,106
50,56
50,60
50,68
50,113
50,164
50,194
51,91
51,98
51,175
51,179
52,108
54,66
54,73
54,100
54,110
54,160
54,195
55,187
56,128
57,66
57,89
57,196
58,102
59,79
61,75
61,132
61,157
61,163
63,74
63,104
63,190
64,153
64,193
65,77
65,94
65,182
65,193
66,75
68,84
68,179
70,78
72,81
72,168
72,176
73,153
74,107
74,125
74,159
83,176
84,116
84,189
85,173
85,175
86,103
88,184
89,169
90,93
90,125
90,145
92,158
92,178
94,184
96,109
98,155
99,107
99,185
100,144
101,127
102,126
102,183
103,140
104,188
105,161
107,154
108,121
108,156
111,163
111,164
114,116
114,129
115,135
116,130
116,139
117,174
118,197
120,128
120,154
121,177
124,160
130,166
132,143
134,147
137,161
138,149
141,170
142,196
147,199
160,172
165,181
167,188
175,187
