source,target
0,1
0,2
0,3
0,4
0,10
0,11
0,26
0,28
0,33
0,38
0,56
0,87
0,89
0,105
0,116
0,167
0,177
0,214
0,222
0,234
0,252
0,255
0,259
0,264
0,287
0,318
0,327
0,352
0,360
0,391
0,413
0,434
0,489
0,491
0,580
0,627
0,673
0,683
0,690
0,703
0,788
0,845
0,849
0,860
1,3
1,5
1,7
1,9
1,12
1,15
1,20
1,29
1,37
1,41
1,42
1,49
1,51
1,55
1,82
1,88
1,93
1,151
1,172
1,173
1,207
1,209
1,307
1,321
1,455
1,465
1,517
1,568
1,618
1,717
1,858
1,896
1,923
2,12
2,13
2,25
2,144
2,155
2,211
2,310
2,437
2,486
3,4
3,39
3,48
3,68
3,69
3,75
3,124
3,238
3,275
3,298
3,332
3,425
3,579
3,622
3,667
3,823
4,5
4,6
4,7
4,8
4,9
4,19
4,23
4,30
4,31
4,49
4,82
4,91
4,125
4,143
4,185
4,188
4,196
4,229
4,230
4,242
4,301
4,315
4,321
4,332
4,368
4,528
4,561
4,593
4,614
4,621
4,628
4,700
4,771
4,799
4,805
4,933
5,6
5,46
5,97
5,127
5,153
5,203
5,204
5,221
5,224
5,256
5,263
5,341
5,371
5,372
5,441
5,480
5,481
5,511
5,526
5,725
5,767
5,785
5,894
5,952
5,980
6,11
6,14
6,26
6,27
6,30
6,32
6,36
6,46
6,47
6,57
6,71
6,77
6,84
6,85
6,103
6,131
6,139
6,143
6,147
6,159
6,199
6,208
6,240
6,243
6,249
6,289
6,314
6,320
6,336
6,346
6,349
6,360
6,363
6,378
6,386
6,393
6,396
6,407
6,464
6,472
6,473
6,499
6,501
6,523
6,570
6,603
6,619
6,685
6,691
6,701
6,807
6,847
6,853
6,863
6,879
6,927
6,936
6,998
7,8
7,10
7,19
7,27
7,28
7,45
7,50
7,71
7,74
7,80
7,84
7,98
7,109
7,119
7,135
7,151
7,152
7,160
7,165
7,214
7,228
7,265
7,306
7,408
7,541
7,559
7,562
7,564
7,620
7,738
7,750
7,868
7,924
7,947
7,950
8,13
8,15
8,17
8,18
8,25
8,40
8,43
8,61
8,91
8,116
8,250
8,271
8,278
8,326
8,333
8,351
8,539
8,600
8,638
8,822
8,897
9,21
9,59
9,61
9,119
9,158
9,323
9,366
9,495
9,640
9,661
9,706
9,707
9,723
9,725
9,826
9,830
9,874
10,14
10,17
10,31
10,40
10,44
10,163
10,168
10,198
10,318
10,324
10,330
10,344
10,368
10,397
10,402
10,681
10,731
11,16
11,22
11,34
11,72
11,79
11,101
11,127
11,140
11,187
11,213
11,223
11,235
11,238
11,259
11,261
11,265
11,418
11,427
11,454
11,499
11,511
11,615
11,741
11,839
11,934
12,63
12,128
12,134
12,178
12,190
12,202
12,237
12,304
12,325
12,384
12,418
12,518
12,555
12,670
12,875
13,62
13,129
13,136
13,138
13,307
13,433
13,587
13,986
14,16
14,52
14,65
14,75
14,81
14,181
14,197
14,216
14,329
14,359
14,363
14,446
14,450
14,484
14,520
14,779
14,781
14,824
14,847
14,905
15,43
15,196
15,242
15,637
15,684
16,18
16,21
16,24
16,41
16,53
16,73
16,79
16,111
16,121
16,154
16,172
16,176
16,180
16,201
16,351
16,367
16,394
16,400
16,419
16,502
16,541
16,590
16,697
16,707
16,949
16,962
17,32
17,33
17,52
17,69
17,100
17,112
17,216
17,343
17,395
17,479
17,695
17,719
18,42
18,80
18,115
18,173
18,281
18,739
18,910
18,922
18,947
18,992
19,20
19,22
19,23
19,24
19,36
19,38
19,57
19,60
19,64
19,66
19,76
19,101
19,107
19,132
19,160
19,164
19,171
19,200
19,254
19,544
19,549
19,609
19,672
19,780
19,787
19,834
19,856
19,883
19,899
19,900
19,984
20,35
20,39
20,45
20,58
20,121
20,146
20,202
20,282
20,337
20,406
20,560
20,588
20,598
20,599
20,647
20,775
20,893
20,977
21,226
21,350
21,854
22,37
22,67
22,78
22,102
22,149
22,337
22,495
22,545
22,679
22,708
22,814
22,842
22,887
22,945
22,970
23,76
23,99
23,111
23,171
23,247
23,386
23,654
24,56
24,88
24,95
24,276
24,284
24,306
24,350
24,412
24,531
24,739
25,131
25,133
25,457
25,989
26,44
26,157
26,245
26,282
26,353
26,403
26,486
26,615
26,625
26,952
27,153
27,244
27,340
27,507
27,745
28,29
28,35
28,66
28,134
28,154
28,168
28,243
28,300
28,673
28,779
28,838
28,865
28,881
29,34
29,77
29,90
29,137
29,148
29,210
29,268
29,271
29,305
29,373
29,417
29,431
29,452
29,504
29,515
29,604
29,607
29,639
29,689
29,754
29,764
29,850
29,862
29,884
29,921
29,968
30,54
30,55
30,594
30,817
30,983
31,730
31,939
32,475
33,53
33,94
33,110
33,144
33,182
33,188
33,197
33,220
33,276
33,283
33,355
33,479
33,579
33,592
33,613
33,757
33,919
33,957
34,47
34,48
34,54
34,62
34,73
34,90
34,142
34,192
34,357
34,393
34,423
34,454
34,466
34,497
34,509
34,555
34,653
34,754
34,758
34,832
34,953
35,126
35,135
35,475
35,532
35,721
35,828
35,973
36,50
36,51
36,86
36,100
36,123
36,149
36,150
36,380
36,641
36,654
36,949
37,85
37,106
37,125
37,130
37,200
37,256
37,364
37,375
37,421
37,550
37,559
37,708
37,760
37,778
37,800
37,888
37,972
38,72
38,94
38,108
38,166
38,193
38,260
38,272
38,298
38,358
38,506
38,578
38,597
38,646
38,660
38,724
39,99
39,132
39,164
39,342
39,384
39,473
39,489
39,509
39,531
39,713
39,917
39,941
40,421
40,490
40,969
41,60
41,67
41,141
41,194
41,482
41,560
41,916
42,95
42,114
42,120
42,210
42,792
43,236
43,412
43,496
43,565
43,669
43,879
44,147
44,614
44,820
45,322
46,93
46,156
46,209
46,498
46,515
46,783
47,596
48,58
48,106
48,137
48,211
48,253
48,268
48,435
48,445
48,602
48,895
48,948
49,59
49,222
49,882
50,65
50,70
50,145
50,162
50,237
50,245
50,776
52,120
52,159
52,263
52,657
53,86
53,353
53,387
53,390
53,551
53,573
54,113
54,233
54,308
54,419
54,485
54,724
54,750
54,772
54,827
54,890
55,63
55,107
55,533
55,557
55,595
55,876
55,945
56,118
56,262
56,280
56,565
56,617
57,158
58,150
58,186
58,257
58,300
58,309
58,330
58,335
58,646
58,727
58,742
58,861
59,104
59,161
59,163
59,476
59,682
59,783
59,798
60,139
60,205
60,240
60,277
60,371
60,443
60,459
60,596
61,64
61,104
61,113
61,123
61,152
61,165
61,247
61,322
61,400
61,553
61,973
61,990
62,115
62,170
62,299
62,500
62,520
62,702
62,734
63,92
63,96
63,221
63,262
63,273
63,376
63,411
63,472
63,575
63,680
64,74
64,109
64,138
64,148
64,181
64,219
64,225
64,226
64,292
64,355
64,519
64,598
64,665
64,748
64,769
65,140
66,70
66,122
66,217
67,68
67,203
67,253
67,260
67,315
67,374
67,387
67,478
67,857
68,488
68,727
69,114
69,461
69,483
69,524
69,747
70,81
70,83
70,206
70,286
70,493
70,602
71,102
71,142
71,205
71,570
72,78
72,269
72,293
72,329
72,554
73,920
