case,module,local_node,global_node,is_bridge_endpoint,distance_to_bridge_endpoint_before,top10_shell,degree_before,degree_after,tau_before,tau_after,delta_tau,tau_before_minus_S_before,tau_after_minus_S_after,delta_tau_centered,tau_ratio,shell,case_label,case_order
shell0-shell0,1,0,0,0,2,0,44,44,480.948346111457,937.46018410199804,456.51183799054002,72.686605658444606,135.464204021619,62.777598363174597,1.9491909925078399,0,shell0-shell0,0
shell0-shell0,1,1,1,0,2,0,34,34,486.888986617466,949.20675706916904,462.31777045170401,78.627246164452899,147.210776988791,68.583530824338098,1.9495342535133899,0,shell0-shell0,0
shell0-shell0,1,4,4,0,1,0,38,38,487.81589622272901,956.90150551118802,469.08560928845901,79.554155769716402,154.90552543081,75.351369661093102,1.96160377905004,0,shell0-shell0,0
shell0-shell0,1,5,5,0,1,0,27,27,466.52160310527103,916.86742841451803,450.34582530924803,58.259862652258001,114.87144833414,56.611585681881799,1.9653268408400499,0,shell0-shell0,0
shell0-shell0,1,6,6,1,0,0,60,61,476.96563144723598,1094.8656624392199,617.900030991986,68.703890994223102,292.86968235884302,224.16579136461999,2.2954812469760499,0,shell0-shell0,0
shell0-shell0,1,7,7,0,2,0,37,37,495.24988884545002,967.305450815624,472.05556197017398,86.988148392437694,165.30947073524601,78.321322342808102,1.95316641679749,0,shell0-shell0,0
shell0-shell0,1,11,11,0,1,0,27,27,492.42816495923699,972.52997483679496,480.10180987755803,84.166424506224203,170.53399475641601,86.367570250191804,1.9749682167698499,0,shell0-shell0,0
shell0-shell0,1,16,16,0,2,0,28,28,481.29197856471802,936.53628873261403,455.244310167896,73.030238111705401,134.54030865223601,61.5100705405303,1.9458796955758499,0,shell0-shell0,0
shell0-shell0,1,19,19,0,2,0,33,33,478.93754509668003,934.82110795318101,455.88356285650099,70.675804643667604,132.82512787280299,62.149323229135,1.9518643245320699,0,shell0-shell0,0
shell0-shell0,1,29,29,0,2,0,28,28,434.24889387384098,849.60757447869901,415.35868060485802,25.987153420828299,47.611594398320001,21.624440977491702,1.95649911022117,0,shell0-shell0,0
shell0-shell0,2,0,1000,0,2,0,44,44,480.948346111457,937.46018410199702,456.51183799054002,72.686605658444606,135.464204021619,62.777598363174299,1.9491909925078399,0,shell0-shell0,0
shell0-shell0,2,1,1001,0,2,0,34,34,486.888986617466,949.20675706916904,462.31777045170401,78.627246164452899,147.210776988791,68.5835308243377,1.9495342535133799,0,shell0-shell0,0
shell0-shell0,2,4,1004,0,1,0,38,38,487.81589622272901,956.90150551118802,469.08560928845901,79.554155769716402,154.90552543080901,75.351369661092903,1.96160377905004,0,shell0-shell0,0
shell0-shell0,2,5,1005,0,1,0,27,27,466.52160310527103,916.86742841451803,450.345825309247,58.259862652258001,114.87144833414,56.6115856818816,1.9653268408400499,0,shell0-shell0,0
shell0-shell0,2,6,1006,1,0,0,60,61,476.96563144723598,1094.8656624392199,617.900030991986,68.703890994223102,292.86968235884302,224.16579136461999,2.2954812469760499,0,shell0-shell0,0
shell0-shell0,2,7,1007,0,2,0,37,37,495.24988884545002,967.305450815624,472.05556197017398,86.988148392437694,165.30947073524499,78.321322342807804,1.95316641679749,0,shell0-shell0,0
shell0-shell0,2,11,1011,0,1,0,27,27,492.42816495923699,972.52997483679405,480.101809877557,84.166424506224203,170.53399475641501,86.367570250191207,1.9749682167698499,0,shell0-shell0,0
shell0-shell0,2,16,1016,0,2,0,28,28,481.29197856471802,936.53628873261403,455.244310167896,73.030238111705401,134.54030865223501,61.510070540529902,1.9458796955758499,0,shell0-shell0,0
shell0-shell0,2,19,1019,0,2,0,33,33,478.93754509668003,934.82110795318101,455.88356285650002,70.675804643667604,132.825127872802,62.149323229134602,1.9518643245320699,0,shell0-shell0,0
shell0-shell0,2,29,1029,0,2,0,28,28,434.24889387384098,849.60757447869798,415.358680604857,25.987153420828299,47.611594398319397,21.624440977491101,1.95649911022117,0,shell0-shell0,0
shell0-shell0,1,2,2,0,-1,1,10,10,479.01356420634801,933.96838917299397,454.95482496664602,70.751823753335501,131.972409092616,61.220585339280397,1.9497744092496301,1,shell0-shell0,0
shell0-shell0,1,3,3,0,2,1,18,18,483.74570238777301,942.83050139404202,459.08479900626901,75.483961934760401,140.834521313663,65.350559378902901,1.9490209354630399,1,shell0-shell0,0
shell0-shell0,1,8,8,0,2,1,23,23,491.16281128304001,957.150178797438,465.98736751439901,82.901070830026896,155.15419871706001,72.253127887032903,1.9487431800814099,1,shell0-shell0,0
shell0-shell0,1,9,9,0,2,1,19,19,461.334565934664,897.58986230374296,436.25529636907902,53.072825481651499,95.593882223364901,42.521056741713302,1.94563756670872,1,shell0-shell0,0
shell0-shell0,1,10,10,0,2,1,19,19,483.84619947836597,945.48630459299397,461.640105114628,75.584459025353496,143.49032451261601,67.905865487262304,1.95410505572292,1,shell0-shell0,0
shell0-shell0,1,12,12,0,-1,1,17,17,483.73419747084301,941.77838590082501,458.044188429982,75.472457017829896,139.782405820446,64.309948802616304,1.9468923033037999,1,shell0-shell0,0
shell0-shell0,1,14,14,0,1,1,22,22,458.99885149428002,912.816022926036,453.81717143175598,50.737111041266999,110.820042845657,60.082931804390199,1.9887109084354899,1,shell0-shell0,0
shell0-shell0,1,15,15,0,-1,1,7,7,434.80649747239198,848.22739772158104,413.420900249189,26.544757019379698,46.231417641202903,19.6866606218233,1.9508158287709101,1,shell0-shell0,0
shell0-shell0,1,18,18,0,-1,1,12,12,454.65372594419102,880.41918562401497,425.765459679824,46.391985491178403,78.423205543636797,32.031220052458401,1.9364609490346201,1,shell0-shell0,0
shell0-shell0,1,20,20,0,-1,1,20,20,470.47632735003202,914.32189009283104,443.84556274279998,62.214586897018897,112.32591001245299,50.111323115433798,1.9433961645695701,1,shell0-shell0,0
shell0-shell0,1,21,21,0,-1,1,5,5,435.94769045824199,843.95954268030005,408.011852222058,27.685950005228801,41.963562599921303,14.2776125946924,1.93591928837421,1,shell0-shell0,0
shell0-shell0,1,22,22,0,2,1,17,17,441.17920911544701,859.45404837395404,418.274839258508,32.917468662433897,57.4580682935756,24.540599631141699,1.94808375058548,1,shell0-shell0,0
