top10_shell_pair_unordered,n,drop_mean,drop_max,margin_mean,margin_max,threshold_mean,threshold_min,threshold_max,sg_mean,sg_median,sg_change_mean,sg_change_median,pprod_before_mean,normalized_reach_product_before_mean
0-1,2870,0.0077819641484066114,0.013092109999210066,0.00048300569583638634,0.00081359938210400005,4.0052732698427933,3.9999631239919902,4.0092685567456998,811.98564163116521,812.22074965657043,-5.3869466134646267,-5.15183858805932,0.053446086609559615,1.1656855482778292
1-1,41328,0.0081385628918112275,0.013659911578720152,0.00050517399298809608,0.00084901237149689998,4.0049166710993891,3.9993953224124801,4.00940186214586,815.15574227686432,815.27955021596847,-2.2168459677655763,-2.0930380286613399,0.035993134236801741,0.9907384548451621
0-2,5210,0.008348294850069448,0.013321909978810442,0.00051821537619544192,0.00082793112033920004,4.0047069391411307,3.9997333240123898,4.0083348529412302,813.41810092981882,813.65590218869056,-3.9544873148109567,-3.7166860559393058,0.062528282959848913,1.0770396951160053
0-3,1820,0.0086975933527762925,0.01388094664390005,0.00053993942840272467,0.00086279571919379997,4.0043576406384238,3.9991742873473002,4.0078693624242003,814.19791013009149,814.43712326342006,-3.1746781145383287,-2.9354649812098046,0.063014504513962386,1.0054212657595993
1-2,149527,0.0089441378699658559,0.014394955657640374,0.00055528191101760676,0.00089486606793799997,4.0041110961212345,3.9986602783335599,4.0090059344737501,816.57812319343225,816.675243217461,-0.7944650511975706,-0.69734502716880797,0.042074538203073192,0.91537501880969163
0-0,55,0.0091162189745169868,0.01307816574504006,0.00056596763824639455,0.00081272325068640003,4.0039390150166829,3.9999770682461602,4.0053972360365497,808.70828444377878,809.09907211945995,-8.6643038008510036,-8.2735161251698628,0.079538568259551468,1.371707546136927
1-3,52234,0.0095703886508713091,0.014727113327640318,0.00059425232440075808,0.00091559183174099996,4.0034848453403287,3.9983281206635599,4.0080096723357901,817.3476752607088,817.44399665315404,-0.024912983921010715,0.071408408524177958,0.04240171090613367,0.85450658339684515
2-2,135981,0.009783555355080761,0.015592017686910431,0.00060751899329858144,0.00096957588646959995,4.0032716786361195,3.9974632163042898,4.0080754733281703,818.00079521319799,818.04837368689596,0.62820696856812186,0.67578544226614667,0.049238039924708835,0.84577946836005491
2-3,94822,0.010447553280202426,0.015717524235860036,0.00064885765913141771,0.0009774122044251001,4.0026076807109972,3.9973377097553402,4.0076110178006097,818.77017921411664,818.80223694797542,1.3975909694868036,1.4296487033456629,0.049607115239120481,0.78952468049042368
3-3,16653,0.01115748097692054,0.015987900144800449,0.00069307180219615821,0.00099429447103950011,4.0018977530142799,3.9970673338463998,4.0066281687245704,819.53942752612545,819.55089826131598,2.1668392814956206,2.1783100166861686,0.050024497813826223,0.73705870212122437
